,City,Country,Lat,Lng,Hotel Name
380,libenge,CD,3.65,18.6333,Hôtel Wilo et Frères
383,tura,IN,25.5198,90.2201,Hotel Polo Orchid
385,howrah,IN,22.5892,88.3103,Sun India Guest House
389,salalah,OM,17.0151,54.0924,Muscat International Hotel
390,luganville,VU,-15.5333,167.1667,Beachfront Resort
393,curvelo,BR,-18.7564,-44.4308,Hotel Bandeirante
398,aden,YE,12.7794,45.0367,فندق قصر الجزيرة
402,inirida,CO,3.8653,-67.9239,Residencias El Turista del Guainia
403,posto fiscal rolim de moura,BR,-13.0833,-62.2667,No hotel found
406,rio grande,BR,-32.035,-52.0986,Hotel Vila Moura Executivo
410,nova vicosa,BR,-17.8919,-39.3719,Pousada Pontal da Barra
412,graaff-reinet,ZA,-32.2522,24.5308,Profcon Resort
415,bangassou,CF,4.7413,22.8184,Hotel De Tourisme
417,tomatlan,MX,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
418,prado,BR,-17.3411,-39.2208,Pousada Recanto do Prado
419,humaita,BR,-7.5061,-63.0208,Humaita Quality Hotel
425,bandarbeyla,SO,9.4942,50.8122,No hotel found
427,umm kaddadah,SD,13.6017,26.6876,No hotel found
430,villa el carmen,NI,11.9801,-86.5057,No hotel found
431,okeho,NG,8.0333,3.35,No hotel found
432,barra de santo antonio,BR,-9.4047,-35.5072,Resort Fazenda Fiore
442,kembe,CF,4.6228,21.8865,No hotel found
443,cidreira,BR,-30.1811,-50.2056,Hotel Castelo
447,bartica,GY,6.4,-58.6167,Rockville Hotel
451,kindu,CD,-2.95,25.95,Hôtel Karibu
452,carutapera,BR,-1.195,-46.02,No hotel found
456,santa luzia,BR,-19.7697,-43.8514,Alcoboca
459,concordia,AR,-31.393,-58.0209,D'Charruas
468,bonito,BR,-21.1211,-56.4819,Hotel Pousada Arauna
469,west end,BS,26.6833,-78.9667,The Inn at Old Bahama Bay
473,son la,VN,21.3167,103.9,Khách sạn Mường Thanh Luxury Sơn La
474,bubaque,GW,11.2833,-15.8333,Chez Julio
477,east london,ZA,-33.0153,27.9116,No hotel found
479,selebi-phikwe,BW,-21.979,27.8498,Cresta Bosele Hotel
482,baracoa,CU,20.3467,-74.4958,Hotel Rio Miel
485,jinghong,CN,21.991,100.7341,No hotel found
486,vila velha,BR,-20.3297,-40.2925,Hotel Prainha
488,belabo,CM,4.9333,13.3,No hotel found
490,gondar,ET,12.6,37.4667,Hotel Dashen
492,conceicao da barra,BR,-18.5933,-39.7322,Porto Marlin Hotel
501,tadine,NC,-21.55,167.8833,Hôtel Nengoné
503,ouadda,CF,8.0777,22.4007,No hotel found
506,luanda,AO,-8.8368,13.2343,Hotel Forum
507,effium,NG,6.6292,8.0593,No hotel found
510,victorica,AR,-36.2151,-65.4359,Hotel Mazamet
514,sucua,EC,-2.4667,-78.1667,Hostal Orellana
518,sao joao nepomuceno,BR,-21.54,-43.0106,Hotel Central
526,sao joao da barra,BR,-21.6403,-41.0511,Pousada Mediterrâneo
529,kabalo,CD,-6.05,26.9167,No hotel found
530,ilhabela,BR,-23.7781,-45.3581,Vila Kebaya
538,cestos city,LR,5.46,-9.5828,No hotel found
550,arraial do cabo,BR,-22.9661,-42.0278,No hotel found
553,kaithal,IN,29.8,76.3833,Lovers vaishno
562,kingaroy,AU,-26.5333,151.8333,No hotel found
564,anna regina,GY,7.2644,-58.5077,Jaigobin Hotel
567,guajara mirim,BR,-10.7828,-65.3394,Novo Hotel Campos
570,dapa,PH,9.7594,126.0531,Island Suites
586,port douglas,AU,-16.4833,145.4667,Mantra Aqueous Port Douglas
